month,orders,unique_customers,revenue_usd,aov_usd,revenue_per_customer
2023-01-01,849,846,67374.34,79.36,79.64
2023-02-01,788,785,69510.38,88.21,88.55
2023-03-01,952,946,82619.41,86.79,87.34
2023-04-01,875,866,76942.45,87.93,88.85
2023-05-01,908,900,77512.49,85.37,86.12
2023-06-01,950,941,81187.09,85.46,86.28
2023-07-01,1076,1069,94075.0,87.43,88.0
2023-08-01,1044,1034,91094.41,87.26,88.1
2023-09-01,994,988,85017.75,85.53,86.05
2023-10-01,1171,1162,98640.19,84.24,84.89
2023-11-01,1141,1137,101475.34,88.94,89.25
2023-12-01,1220,1210,104844.93,85.94,86.65
2024-01-01,1163,1151,96501.51,82.98,83.84
2024-02-01,1214,1200,105935.13,87.26,88.28
2024-03-01,1349,1338,116272.1,86.19,86.9
2024-04-01,1295,1287,106601.62,82.32,82.83
2024-05-01,1375,1370,119114.59,86.63,86.94
2024-06-01,1347,1332,115803.66,85.97,86.94
2024-07-01,1438,1425,124163.18,86.34,87.13
2024-08-01,1516,1506,125228.16,82.6,83.15
2024-09-01,1620,1611,143138.58,88.36,88.85
2024-10-01,1679,1664,142870.19,85.09,85.86
2024-11-01,1666,1650,143786.03,86.31,87.14
2024-12-01,1761,1744,157993.47,89.72,90.59
2025-01-01,1797,1771,155209.03,86.37,87.64
2025-02-01,1747,1730,146301.9,83.74,84.57
2025-03-01,1902,1883,162730.95,85.56,86.42
2025-04-01,1985,1953,181855.3,91.61,93.12
2025-05-01,2097,2069,174911.86,83.41,84.54
2025-06-01,2132,2103,186105.28,87.29,88.5
2025-07-01,2354,2322,208387.41,88.52,89.74
2025-08-01,2458,2420,206041.56,83.82,85.14
2025-09-01,2505,2455,215367.03,85.97,87.73
2025-10-01,2737,2675,230816.78,84.33,86.29
2025-11-01,2816,2758,244411.24,86.79,88.62
2025-12-01,3033,2962,268418.02,88.5,90.62
2026-01-01,3333,3236,285780.09,85.74,88.31
2026-02-01,3371,3230,294961.2,87.5,91.32
2026-03-01,4205,4001,361384.89,85.94,90.32
2026-04-01,4951,4516,429169.32,86.68,95.03
2026-05-01,3755,2937,325037.02,86.56,110.67
