category,orders,revenue_usd,pct_of_total,cumulative_pct
Outerwear & Coats,6715,1022690.56,12.49,12.49
Jeans,9304,945192.95,11.55,24.04
Sweaters,8008,623743.54,7.62,31.66
Suits & Sport Coats,3836,510057.81,6.23,37.9
Swim,8307,486829.26,5.95,43.84
Fashion Hoodies & Sweatshirts,8644,486819.03,5.95,49.79
Sleep & Lounge,8089,410272.81,5.01,54.8
Shorts,8186,390066.09,4.77,59.57
Tops & Tees,8584,368445.75,4.5,64.07
Dresses,3965,352127.97,4.3,68.37
Active,6787,348970.94,4.26,72.64
Intimates,9327,340557.35,4.16,76.8
Pants,5241,325503.41,3.98,80.77
Accessories,7234,314189.54,3.84,84.61
Blazers & Jackets,2343,217196.13,2.65,87.27
Maternity,3672,192226.61,2.35,89.61
Underwear,5560,156743.51,1.92,91.53
Pants & Capris,2551,140259.45,1.71,93.24
Plus,3071,119761.93,1.46,94.71
Socks,4573,97019.56,1.19,95.89
Suits,814,95660.73,1.17,97.06
Skirts,1563,81547.38,1.0,98.06
Leggings,2390,68755.49,0.84,98.9
Socks & Hosiery,2757,47325.01,0.58,99.48
Jumpsuits & Rompers,659,31978.61,0.39,99.87
Clothing Sets,130,10974.5,0.13,100.0
