cohort_month,months_since_first,active_users,retention_pct
2024-01-01,0,906,100.0
2024-01-01,1,16,1.77
2024-01-01,2,16,1.77
2024-01-01,3,17,1.88
2024-01-01,4,13,1.43
2024-01-01,5,14,1.55
2024-01-01,6,15,1.66
2024-01-01,7,12,1.32
2024-01-01,8,11,1.21
2024-01-01,9,15,1.66
2024-01-01,10,14,1.55
2024-01-01,11,18,1.99
2024-01-01,12,12,1.32
2024-02-01,0,819,100.0
2024-02-01,1,14,1.71
2024-02-01,2,11,1.34
2024-02-01,3,17,2.08
2024-02-01,4,17,2.08
2024-02-01,5,17,2.08
2024-02-01,6,16,1.95
2024-02-01,7,12,1.47
2024-02-01,8,16,1.95
2024-02-01,9,21,2.56
2024-02-01,10,9,1.1
2024-02-01,11,12,1.47
2024-02-01,12,9,1.1
2024-03-01,0,897,100.0
2024-03-01,1,14,1.56
2024-03-01,2,15,1.67
2024-03-01,3,12,1.34
2024-03-01,4,14,1.56
2024-03-01,5,14,1.56
2024-03-01,6,13,1.45
2024-03-01,7,19,2.12
2024-03-01,8,17,1.9
2024-03-01,9,17,1.9
2024-03-01,10,17,1.9
2024-03-01,11,15,1.67
2024-03-01,12,15,1.67
2024-04-01,0,957,100.0
2024-04-01,1,20,2.09
2024-04-01,2,24,2.51
2024-04-01,3,20,2.09
2024-04-01,4,15,1.57
2024-04-01,5,18,1.88
2024-04-01,6,20,2.09
2024-04-01,7,19,1.99
2024-04-01,8,18,1.88
2024-04-01,9,16,1.67
2024-04-01,10,28,2.93
2024-04-01,11,15,1.57
2024-04-01,12,16,1.67
2024-05-01,0,1004,100.0
2024-05-01,1,15,1.49
2024-05-01,2,19,1.89
2024-05-01,3,22,2.19
2024-05-01,4,19,1.89
2024-05-01,5,21,2.09
2024-05-01,6,13,1.29
2024-05-01,7,14,1.39
2024-05-01,8,23,2.29
2024-05-01,9,15,1.49
2024-05-01,10,14,1.39
2024-05-01,11,18,1.79
2024-05-01,12,21,2.09
2024-06-01,0,928,100.0
2024-06-01,1,17,1.83
2024-06-01,2,9,0.97
2024-06-01,3,16,1.72
2024-06-01,4,13,1.4
2024-06-01,5,8,0.86
2024-06-01,6,15,1.62
2024-06-01,7,15,1.62
2024-06-01,8,15,1.62
2024-06-01,9,23,2.48
2024-06-01,10,20,2.16
2024-06-01,11,14,1.51
2024-06-01,12,18,1.94
2024-07-01,0,1081,100.0
2024-07-01,1,25,2.31
2024-07-01,2,23,2.13
2024-07-01,3,24,2.22
2024-07-01,4,16,1.48
2024-07-01,5,21,1.94
2024-07-01,6,18,1.67
2024-07-01,7,26,2.41
2024-07-01,8,24,2.22
2024-07-01,9,25,2.31
2024-07-01,10,17,1.57
2024-07-01,11,12,1.11
2024-07-01,12,25,2.31
2024-08-01,0,1125,100.0
2024-08-01,1,22,1.96
2024-08-01,2,26,2.31
2024-08-01,3,22,1.96
2024-08-01,4,19,1.69
2024-08-01,5,23,2.04
2024-08-01,6,19,1.69
2024-08-01,7,30,2.67
2024-08-01,8,29,2.58
2024-08-01,9,16,1.42
2024-08-01,10,25,2.22
2024-08-01,11,23,2.04
2024-08-01,12,12,1.07
2024-09-01,0,1075,100.0
2024-09-01,1,21,1.95
2024-09-01,2,21,1.95
2024-09-01,3,17,1.58
2024-09-01,4,30,2.79
2024-09-01,5,21,1.95
2024-09-01,6,28,2.6
2024-09-01,7,28,2.6
2024-09-01,8,23,2.14
2024-09-01,9,17,1.58
2024-09-01,10,19,1.77
2024-09-01,11,31,2.88
2024-09-01,12,23,2.14
2024-10-01,0,1148,100.0
2024-10-01,1,22,1.92
2024-10-01,2,25,2.18
2024-10-01,3,26,2.26
2024-10-01,4,28,2.44
2024-10-01,5,20,1.74
2024-10-01,6,31,2.7
2024-10-01,7,21,1.83
2024-10-01,8,21,1.83
2024-10-01,9,30,2.61
